,Atributo,label da classe predita pelo modelo em INFERÊNCIA,índice da classe predita pelo modelo em modo de INFERÊNCIA,predição do modelo em TREINAMENTO para a classe predita pelo modelo em INFERÊNCIA,label da classe predita pelo modelo em TREINAMENTO,model
178,eye_color,blue,2,0.19762923,brown,mac_hybrid_200_2048_1e-05
179,monk_scale,scale 4,4,0.9953246,scale 4,mac_hybrid_200_2048_1e-05
180,fitz_type,type i,0,0.9983552,type i,mac_hybrid_200_2048_1e-05
181,male,0,0,0.9990734,0,mac_hybrid_200_2048_1e-05
182,age,adult,0,0.024265649,young adult,mac_hybrid_200_2048_1e-05
183,hair_type,wavy,3,0.9981236,wavy,mac_hybrid_200_2048_1e-05
184,hair_color,brunette,3,0.9663822,brunette,mac_hybrid_200_2048_1e-05
185,eye_color,blue,2,0.8064465,blue,mac_hybrid_200_2048_1e-05
186,monk_scale,scale 4,4,0.80853283,scale 4,mac_hybrid_200_2048_1e-05
187,fitz_type,type i,0,0.992224,type i,mac_hybrid_200_2048_1e-05
188,male,0,0,0.99958926,0,mac_hybrid_200_2048_1e-05
189,age,adult,0,0.06218868,young adult,mac_hybrid_200_2048_1e-05
190,hair_type,wavy,3,0.6787993,wavy,mac_hybrid_200_2048_1e-05
191,hair_color,brunette,3,0.9973488,brunette,mac_hybrid_200_2048_1e-05
192,eye_color,blue,2,0.3170972,hazel,mac_hybrid_200_2048_1e-05
193,monk_scale,scale 4,4,0.46348605,scale 2,mac_hybrid_200_2048_1e-05
194,fitz_type,type i,0,0.9968988,type i,mac_hybrid_200_2048_1e-05
195,male,0,0,0.9999944,0,mac_hybrid_200_2048_1e-05
196,age,adult,0,0.28108296,young adult,mac_hybrid_200_2048_1e-05
197,hair_type,wavy,3,0.5374073,wavy,mac_hybrid_200_2048_1e-05
198,hair_color,brunette,3,0.9988919,brunette,mac_hybrid_200_2048_1e-05
199,eye_color,blue,2,0.01940721,brown,mac_hybrid_200_2048_1e-05
200,monk_scale,scale 4,4,0.19923589,scale 2,mac_hybrid_200_2048_1e-05
201,fitz_type,type i,0,0.8908539,type i,mac_hybrid_200_2048_1e-05
202,male,0,0,0.9942211,0,mac_hybrid_200_2048_1e-05
203,age,adult,0,0.015995607,young adult,mac_hybrid_200_2048_1e-05
204,hair_type,wavy,3,0.8357024,wavy,mac_hybrid_200_2048_1e-05
205,hair_color,brunette,3,0.99931324,brunette,mac_hybrid_200_2048_1e-05
206,eye_color,blue,2,0.74737203,blue,mac_hybrid_200_2048_1e-05
207,monk_scale,scale 4,4,0.2568324,scale 2,mac_hybrid_200_2048_1e-05
208,fitz_type,type i,0,0.98772126,type i,mac_hybrid_200_2048_1e-05
209,male,0,0,0.9975089,0,mac_hybrid_200_2048_1e-05
210,age,adult,0,0.29894948,young adult,mac_hybrid_200_2048_1e-05
211,hair_type,wavy,3,0.992438,wavy,mac_hybrid_200_2048_1e-05
212,hair_color,brunette,3,0.93706316,brunette,mac_hybrid_200_2048_1e-05
213,eye_color,blue,2,0.13254161,green,mac_hybrid_200_2048_1e-05
214,monk_scale,scale 4,4,0.28581566,scale 2,mac_hybrid_200_2048_1e-05
215,fitz_type,type i,0,0.9990965,type i,mac_hybrid_200_2048_1e-05
216,male,0,0,0.99999774,0,mac_hybrid_200_2048_1e-05
217,age,adult,0,0.3140318,young adult,mac_hybrid_200_2048_1e-05
218,hair_type,wavy,3,0.91949487,wavy,mac_hybrid_200_2048_1e-05
219,hair_color,brunette,3,0.9925242,brunette,mac_hybrid_200_2048_1e-05
