,Atributo,label da classe predita pelo modelo em INFERÊNCIA,índice da classe predita pelo modelo em modo de INFERÊNCIA,predição do modelo em TREINAMENTO para a classe predita pelo modelo em INFERÊNCIA,label da classe predita pelo modelo em TREINAMENTO,model
642,fitz_type,type vi,5,0.9923478364944458,type vi,mac_hybrid_200_2048_1e-05
643,male,1,1,0.99998796,0,mac_hybrid_200_2048_1e-05
644,age,adult,0,0.9787222743034363,adult,mac_hybrid_200_2048_1e-05
645,hair_type,straight,2,0.9938585162162781,straight,mac_hybrid_200_2048_1e-05
646,hair_color,black,0,0.9961901903152466,black,mac_hybrid_200_2048_1e-05
647,eye_color,black,1,0.9999098777770996,black,mac_hybrid_200_2048_1e-05
648,monk_scale,scale 9,9,0.9277637600898743,scale 9,mac_hybrid_200_2048_1e-05
649,fitz_type,type vi,5,0.9773913621902466,type vi,mac_hybrid_200_2048_1e-05
650,male,1,1,0.9997892,0,mac_hybrid_200_2048_1e-05
651,age,adult,0,0.9936382174491882,adult,mac_hybrid_200_2048_1e-05
652,hair_type,straight,2,0.9939160943031311,straight,mac_hybrid_200_2048_1e-05
653,hair_color,black,0,0.9933239817619324,black,mac_hybrid_200_2048_1e-05
654,eye_color,black,1,0.9987903237342834,black,mac_hybrid_200_2048_1e-05
655,monk_scale,scale 9,9,0.016127189621329308,scale 8,mac_hybrid_200_2048_1e-05
656,fitz_type,type vi,5,0.9990890026092529,type vi,mac_hybrid_200_2048_1e-05
657,male,1,1,0.9999538,0,mac_hybrid_200_2048_1e-05
658,age,adult,0,0.8288280963897705,adult,mac_hybrid_200_2048_1e-05
659,hair_type,straight,2,0.8711476922035217,straight,mac_hybrid_200_2048_1e-05
660,hair_color,black,0,0.999640941619873,black,mac_hybrid_200_2048_1e-05
661,eye_color,black,1,0.9974379539489746,black,mac_hybrid_200_2048_1e-05
662,monk_scale,scale 9,9,0.8555293083190918,scale 9,mac_hybrid_200_2048_1e-05
663,fitz_type,type vi,5,0.9986891150474548,type vi,mac_hybrid_200_2048_1e-05
664,male,1,1,0.9999382,0,mac_hybrid_200_2048_1e-05
