,Atributo,label da classe predita pelo modelo em INFERÊNCIA,índice da classe predita pelo modelo em modo de INFERÊNCIA,predição do modelo em TREINAMENTO para a classe predita pelo modelo em INFERÊNCIA,label da classe predita pelo modelo em TREINAMENTO,model
354,monk_scale,scale 5,5,0.30418968,scale 7,mac_hybrid_200_2048_1e-05
355,fitz_type,type iv,3,0.40979922,type iv,mac_hybrid_200_2048_1e-05
356,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
357,age,adult,0,0.9988199,adult,mac_hybrid_200_2048_1e-05
358,hair_type,curly,1,0.9205253,curly,mac_hybrid_200_2048_1e-05
359,hair_color,black,0,0.9999435,black,mac_hybrid_200_2048_1e-05
360,eye_color,black,1,0.45189396,black,mac_hybrid_200_2048_1e-05
361,monk_scale,scale 5,5,0.9890169,scale 5,mac_hybrid_200_2048_1e-05
362,fitz_type,type iv,3,0.38062084,type iv,mac_hybrid_200_2048_1e-05
363,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
364,age,adult,0,0.99290246,adult,mac_hybrid_200_2048_1e-05
365,hair_type,curly,1,0.09211311,wavy,mac_hybrid_200_2048_1e-05
366,hair_color,black,0,0.99877447,black,mac_hybrid_200_2048_1e-05
367,eye_color,black,1,0.94284403,black,mac_hybrid_200_2048_1e-05
368,monk_scale,scale 5,5,0.062163446,scale 6,mac_hybrid_200_2048_1e-05
369,fitz_type,type iv,3,0.07888193,type v,mac_hybrid_200_2048_1e-05
370,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
371,age,adult,0,0.9997681,adult,mac_hybrid_200_2048_1e-05
372,hair_type,curly,1,0.8237794,curly,mac_hybrid_200_2048_1e-05
373,hair_color,black,0,0.99895585,black,mac_hybrid_200_2048_1e-05
374,eye_color,black,1,0.9922047,black,mac_hybrid_200_2048_1e-05
375,monk_scale,scale 5,5,0.44140497,scale 6,mac_hybrid_200_2048_1e-05
376,fitz_type,type iv,3,0.7259115,type iv,mac_hybrid_200_2048_1e-05
377,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
378,age,adult,0,0.9989355,adult,mac_hybrid_200_2048_1e-05
379,hair_type,curly,1,0.06018816,wavy,mac_hybrid_200_2048_1e-05
380,hair_color,black,0,0.9983399,black,mac_hybrid_200_2048_1e-05
381,eye_color,black,1,0.7221539,black,mac_hybrid_200_2048_1e-05
382,monk_scale,scale 5,5,0.17870952,scale 7,mac_hybrid_200_2048_1e-05
383,fitz_type,type iv,3,0.78383994,type iv,mac_hybrid_200_2048_1e-05
384,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
385,age,adult,0,0.99990916,adult,mac_hybrid_200_2048_1e-05
386,hair_type,curly,1,0.8909393,curly,mac_hybrid_200_2048_1e-05
387,hair_color,black,0,0.94821715,black,mac_hybrid_200_2048_1e-05
